Date,Open,High,Low,Close,Volume
2025-08-20T18:00:41.974Z,1.30384,1.30452,1.30263,1.30359,1133
2025-08-20T18:01:41.974Z,1.30406,1.30481,1.30243,1.30344,1007
2025-08-20T18:02:41.974Z,1.30509,1.30592,1.30461,1.30553,855
2025-08-20T18:03:41.974Z,1.30554,1.30731,1.30424,1.30612,1324
2025-08-20T18:04:41.974Z,1.30359,1.30483,1.30213,1.30365,851
2025-08-20T18:05:41.974Z,1.30510,1.30540,1.30406,1.30534,959
2025-08-20T18:06:41.974Z,1.30396,1.30460,1.30378,1.30452,1246
2025-08-20T18:07:41.974Z,1.30437,1.30631,1.30313,1.30465,556
2025-08-20T18:08:41.974Z,1.30467,1.30585,1.30383,1.30435,514
2025-08-20T18:09:41.974Z,1.30445,1.30497,1.30306,1.30413,1348
2025-08-20T18:10:41.974Z,1.30430,1.30448,1.30358,1.30372,1120
2025-08-20T18:11:41.974Z,1.30487,1.30617,1.30401,1.30526,1317
2025-08-20T18:12:41.974Z,1.30444,1.30476,1.30435,1.30464,1016
2025-08-20T18:13:41.974Z,1.30369,1.30460,1.30188,1.30320,1309
2025-08-20T18:14:41.974Z,1.30397,1.30529,1.30319,1.30385,780
2025-08-20T18:15:41.974Z,1.30431,1.30451,1.30429,1.30400,697
2025-08-20T18:16:41.974Z,1.30444,1.30539,1.30281,1.30462,1462
2025-08-20T18:17:41.974Z,1.30513,1.30621,1.30506,1.30511,824
2025-08-20T18:18:41.974Z,1.30402,1.30544,1.30304,1.30392,1269
2025-08-20T18:19:41.974Z,1.30439,1.30592,1.30263,1.30466,1094
2025-08-20T18:20:41.974Z,1.30383,1.30400,1.30250,1.30353,601
2025-08-20T18:21:41.974Z,1.30514,1.30671,1.30351,1.30519,1345
2025-08-20T18:22:41.974Z,1.30379,1.30521,1.30263,1.30358,1289
2025-08-20T18:23:41.974Z,1.30427,1.30613,1.30381,1.30498,1492
2025-08-20T18:24:41.974Z,1.30349,1.30416,1.30333,1.30367,946
2025-08-20T18:25:41.974Z,1.30486,1.30581,1.30382,1.30519,767
2025-08-20T18:26:41.974Z,1.30454,1.30590,1.30268,1.30483,811
2025-08-20T18:27:41.974Z,1.30368,1.30400,1.30230,1.30333,582
2025-08-20T18:28:41.974Z,1.30380,1.30394,1.30340,1.30339,1403
2025-08-20T18:29:41.974Z,1.30449,1.30503,1.30312,1.30396,1363
2025-08-20T18:30:41.974Z,1.30368,1.30461,1.30308,1.30349,1489
2025-08-20T18:31:41.974Z,1.30475,1.30566,1.30385,1.30458,1488
2025-08-20T18:32:41.974Z,1.30426,1.30585,1.30252,1.30470,570
2025-08-20T18:33:41.974Z,1.30492,1.30650,1.30436,1.30508,1365
2025-08-20T18:34:41.974Z,1.30436,1.30511,1.30270,1.30445,889
2025-08-20T18:35:41.974Z,1.30514,1.30711,1.30355,1.30563,1059
2025-08-20T18:36:41.974Z,1.30466,1.30561,1.30349,1.30440,718
2025-08-20T18:37:41.974Z,1.30496,1.30626,1.30412,1.30558,1088
2025-08-20T18:38:41.974Z,1.30525,1.30624,1.30390,1.30563,554
2025-08-20T18:39:41.974Z,1.30529,1.30728,1.30438,1.30574,1431
2025-08-20T18:40:41.974Z,1.30499,1.30558,1.30300,1.30440,795
2025-08-20T18:41:41.974Z,1.30487,1.30590,1.30367,1.30523,1089
2025-08-20T18:42:41.974Z,1.30406,1.30510,1.30281,1.30418,1326
2025-08-20T18:43:41.974Z,1.30491,1.30619,1.30325,1.30486,775
2025-08-20T18:44:41.974Z,1.30391,1.30487,1.30282,1.30394,1406
2025-08-20T18:45:41.974Z,1.30445,1.30518,1.30382,1.30480,882
2025-08-20T18:46:41.974Z,1.30431,1.30438,1.30400,1.30436,534
2025-08-20T18:47:41.974Z,1.30449,1.30628,1.30259,1.30408,881
2025-08-20T18:48:41.974Z,1.30340,1.30437,1.30174,1.30346,803
2025-08-20T18:49:41.974Z,1.30422,1.30447,1.30329,1.30356,1449
2025-08-20T18:50:41.974Z,1.30482,1.30489,1.30373,1.30477,816
2025-08-20T18:51:41.974Z,1.30460,1.30555,1.30285,1.30409,1435
2025-08-20T18:52:41.974Z,1.30409,1.30440,1.30231,1.30368,904
2025-08-20T18:53:41.974Z,1.30467,1.30624,1.30459,1.30562,1081
2025-08-20T18:54:41.974Z,1.30486,1.30604,1.30378,1.30455,990
2025-08-20T18:55:41.974Z,1.30462,1.30570,1.30388,1.30424,873
2025-08-20T18:56:41.974Z,1.30524,1.30687,1.30401,1.30526,660
2025-08-20T18:57:41.974Z,1.30331,1.30521,1.30316,1.30346,507
2025-08-20T18:58:41.974Z,1.30343,1.30406,1.30317,1.30385,1166
2025-08-20T18:59:41.974Z,1.30526,1.30710,1.30429,1.30542,1273
2025-08-20T19:00:41.974Z,1.30482,1.30664,1.30458,1.30517,1320
2025-08-20T19:01:41.974Z,1.30385,1.30441,1.30212,1.30335,1432
2025-08-20T19:02:41.974Z,1.30476,1.30663,1.30440,1.30554,572
2025-08-20T19:03:41.974Z,1.30402,1.30596,1.30359,1.30423,1453
2025-08-20T19:04:41.974Z,1.30441,1.30445,1.30338,1.30381,1095
2025-08-20T19:05:41.974Z,1.30424,1.30542,1.30343,1.30409,631
2025-08-20T19:06:41.974Z,1.30419,1.30574,1.30342,1.30445,723
2025-08-20T19:07:41.974Z,1.30514,1.30630,1.30367,1.30478,1000
2025-08-20T19:08:41.974Z,1.30509,1.30534,1.30500,1.30523,1227
2025-08-20T19:09:41.974Z,1.30519,1.30573,1.30467,1.30522,915
2025-08-20T19:10:41.974Z,1.30499,1.30630,1.30309,1.30503,976
2025-08-20T19:11:41.974Z,1.30351,1.30396,1.30157,1.30331,501
2025-08-20T19:12:41.974Z,1.30413,1.30555,1.30241,1.30439,1240
2025-08-20T19:13:41.974Z,1.30462,1.30593,1.30275,1.30438,1422
2025-08-20T19:14:41.974Z,1.30408,1.30593,1.30392,1.30416,1192
2025-08-20T19:15:41.974Z,1.30352,1.30478,1.30280,1.30406,896
2025-08-20T19:16:41.974Z,1.30512,1.30643,1.30320,1.30477,1081
2025-08-20T19:17:41.974Z,1.30438,1.30609,1.30276,1.30421,1026
2025-08-20T19:18:41.974Z,1.30352,1.30453,1.30242,1.30357,646
2025-08-20T19:19:41.974Z,1.30505,1.30620,1.30363,1.30516,1093
