Date,Open,High,Low,Close,Volume
2025-08-20T18:00:41.914Z,110.004,110.005,110.003,110.005,1304
2025-08-20T18:01:41.914Z,110.005,110.006,110.003,110.005,757
2025-08-20T18:02:41.914Z,110.005,110.006,110.005,110.006,959
2025-08-20T18:03:41.914Z,110.004,110.005,110.004,110.004,701
2025-08-20T18:04:41.914Z,110.006,110.007,110.004,110.006,1066
2025-08-20T18:05:41.914Z,110.005,110.006,110.004,110.006,958
2025-08-20T18:06:41.914Z,110.005,110.006,110.004,110.005,644
2025-08-20T18:07:41.914Z,110.004,110.006,110.004,110.004,558
2025-08-20T18:08:41.914Z,110.005,110.006,110.005,110.005,561
2025-08-20T18:09:41.914Z,110.004,110.005,110.003,110.004,1153
2025-08-20T18:10:41.914Z,110.005,110.006,110.004,110.005,1403
2025-08-20T18:11:41.914Z,110.005,110.005,110.004,110.005,1200
2025-08-20T18:12:41.914Z,110.004,110.004,110.003,110.004,1150
2025-08-20T18:13:41.914Z,110.005,110.005,110.003,110.005,1328
2025-08-20T18:14:41.914Z,110.005,110.007,110.004,110.005,1119
2025-08-20T18:15:41.914Z,110.005,110.006,110.004,110.005,1337
2025-08-20T18:16:41.914Z,110.004,110.006,110.003,110.005,1181
2025-08-20T18:17:41.914Z,110.005,110.006,110.004,110.005,1102
2025-08-20T18:18:41.914Z,110.004,110.004,110.004,110.004,527
2025-08-20T18:19:41.914Z,110.005,110.006,110.004,110.005,990
2025-08-20T18:20:41.914Z,110.005,110.006,110.004,110.004,1495
2025-08-20T18:21:41.914Z,110.005,110.005,110.005,110.005,620
2025-08-20T18:22:41.914Z,110.005,110.006,110.004,110.005,1297
2025-08-20T18:23:41.914Z,110.004,110.005,110.004,110.005,902
2025-08-20T18:24:41.914Z,110.005,110.006,110.004,110.005,757
2025-08-20T18:25:41.914Z,110.004,110.004,110.002,110.003,712
2025-08-20T18:26:41.914Z,110.005,110.006,110.004,110.005,1458
2025-08-20T18:27:41.914Z,110.005,110.005,110.003,110.004,1468
2025-08-20T18:28:41.914Z,110.005,110.006,110.004,110.005,1239
2025-08-20T18:29:41.914Z,110.005,110.007,110.005,110.006,898
